Date,Predicted
2020-04-08,53883.98343338684
2020-04-09,53900.3990196159
2020-04-10,53916.81460584496
2020-04-13,53933.230192074014
2020-04-14,53949.64577830307
2020-04-16,53966.06136453213
2020-04-17,53982.476950761185
2020-04-20,53998.89253699024
2020-04-21,54015.3081232193
2020-04-22,54031.72370944836
2020-04-23,54048.139295677414
2020-04-24,54064.55488190647
2020-04-27,54080.97046813553
2020-04-28,54097.386054364586
2020-04-29,54113.80164059364
2020-05-04,54130.2172268227
2020-05-06,54146.63281305176
2020-05-07,54163.048399280815
2020-05-08,54179.46398550987
2020-05-11,54195.87957173893
2020-05-12,54212.29515796799
2020-05-13,54228.710744197044
2020-05-14,54245.1263304261
2020-05-15,54261.54191665516
2020-05-18,54277.957502884216
2020-05-19,54294.37308911327
2020-05-20,54310.78867534233
2020-05-21,54327.20426157139
2020-05-22,54343.619847800444
2020-05-25,54360.0354340295
2020-05-26,54376.45102025856
2020-05-27,54392.866606487616
2020-05-28,54409.28219271667
2020-05-29,54425.69777894573
2020-06-01,54442.11336517479
2020-06-02,54458.528951403845
2020-06-03,54474.9445376329
2020-06-04,54491.36012386196
2020-06-05,54507.77571009102
2020-06-08,54524.191296320074
2020-06-09,54540.60688254913
2020-06-10,54557.02246877819
2020-06-11,54573.438055007246
2020-06-12,54589.8536412363
2020-06-15,54606.26922746536
2020-06-16,54622.68481369442
2020-06-17,54639.100399923474
2020-06-18,54655.51598615253
2020-06-19,54671.93157238159
2020-06-22,54688.347158610646
2020-06-23,54704.7627448397
2020-06-24,54721.17833106876
2020-06-25,54737.59391729782
2020-06-26,54754.009503526875
2020-06-29,54770.42508975593
2020-06-30,54786.84067598499
2020-07-01,54803.25626221405
2020-07-02,54819.671848443104
2020-07-03,54836.08743467216
2020-07-06,54852.50302090122
2020-07-07,54868.918607130276
2020-07-08,54885.33419335933
2020-07-09,54901.74977958839
2020-07-10,54918.16536581745
2020-07-13,54934.580952046505
2020-07-14,54950.99653827556
2020-07-15,54967.41212450462
2020-07-16,54983.827710733676
2020-07-17,55000.24329696273
2020-07-20,55016.65888319179
2020-07-21,55033.07446942085
2020-07-22,55049.490055649905
2020-07-23,55065.90564187896
2020-07-24,55082.32122810802
2020-07-27,55098.73681433708
2020-07-28,55115.152400566134
2020-07-29,55131.56798679519
2020-07-30,55147.98357302425
2020-07-31,55164.399159253306
2020-08-03,55180.81474548236
2020-08-04,55197.23033171142
2020-08-05,55213.64591794048
2020-08-06,55230.061504169535
2020-08-07,55246.47709039859
2020-08-10,55262.89267662765
2020-08-11,55279.308262856706
2020-08-12,55295.72384908576
2020-08-13,55312.13943531482
2020-08-14,55328.55502154388
2020-08-18,55344.970607772935
2020-08-19,55361.38619400199
2020-08-20,55377.80178023105
2020-08-21,55394.21736646011
2020-08-24,55410.632952689164
2020-08-25,55427.04853891822
2020-08-26,55443.46412514728
2020-08-27,55459.879711376336
2020-08-28,55476.29529760539
2020-08-31,55492.71088383445
2020-09-01,55509.12647006351
2020-09-02,55525.542056292565
2020-09-03,55541.95764252162
2020-09-04,55558.37322875068
2020-09-07,55574.788814979736
2020-09-08,55591.20440120879
2020-09-09,55607.61998743785
2020-09-10,55624.03557366691
2020-09-11,55640.451159895965
2020-09-14,55656.86674612502
2020-09-15,55673.28233235408
2020-09-16,55689.69791858314
2020-09-17,55706.113504812194
2020-09-18,55722.52909104125
2020-09-21,55738.94467727031
2020-09-22,55755.360263499366
2020-09-23,55771.77584972842
2020-09-24,55788.19143595748
2020-09-25,55804.60702218654
2020-09-28,55821.022608415595
2020-09-29,55837.43819464465
2020-10-05,55853.85378087371
2020-10-06,55870.26936710277
2020-10-07,55886.68495333182
2020-10-08,55903.10053956088
2020-10-12,55919.51612578994
2020-10-13,55935.931712018995
2020-10-14,55952.34729824805
2020-10-15,55968.76288447711
2020-10-16,55985.17847070617
2020-10-19,56001.594056935224
2020-10-20,56018.00964316428
2020-10-21,56034.42522939334
2020-10-22,56050.840815622396
2020-10-23,56067.25640185145
2020-10-26,56083.67198808051
2020-10-27,56100.08757430957
2020-10-28,56116.503160538625
2020-10-29,56132.91874676768
2020-10-30,56149.33433299674
2020-11-02,56165.7499192258
2020-11-03,56182.165505454854
2020-11-04,56198.58109168391
2020-11-05,56214.99667791297
2020-11-06,56231.412264142025
2020-11-09,56247.82785037108
2020-11-10,56264.24343660014
2020-11-11,56280.6590228292
2020-11-12,56297.074609058254
2020-11-13,56313.49019528731
2020-11-16,56329.90578151637
2020-11-17,56346.321367745426
2020-11-18,56362.73695397448
2020-11-19,56379.15254020354
2020-11-20,56395.5681264326
2020-11-23,56411.983712661655
2020-11-24,56428.39929889071
2020-11-25,56444.81488511977
2020-11-26,56461.23047134883
2020-11-27,56477.646057577884
2020-11-30,56494.06164380694
2020-12-01,56510.477230036
2020-12-02,56526.892816265055
2020-12-03,56543.30840249411
2020-12-04,56559.72398872317
2020-12-07,56576.13957495223
2020-12-08,56592.555161181284
2020-12-09,56608.97074741034
2020-12-10,56625.3863336394
2020-12-11,56641.801919868456
2020-12-14,56658.21750609751
2020-12-15,56674.63309232657
2020-12-16,56691.04867855563
2020-12-17,56707.464264784685
2020-12-18,56723.87985101374
2020-12-21,56740.2954372428
2020-12-22,56756.71102347186
2020-12-23,56773.126609700914
2020-12-24,56789.54219592997
2020-12-28,56805.95778215903
2020-12-29,56822.373368388086
2020-12-30,56838.78895461714
2021-01-04,56855.2045408462
2021-01-05,56871.62012707526
2021-01-06,56888.035713304314
2021-01-07,56904.45129953337
2021-01-08,56920.86688576243
2021-01-11,56937.282471991486
2021-01-12,56953.69805822054
2021-01-13,56970.1136444496
2021-01-14,56986.52923067866
2021-01-15,57002.944816907715
2021-01-18,57019.36040313677
